financial_year,year,bank_name,total_assets,investments,advances,fixed_assets,other_assets,capital,reserves_surplus,deposits,borrowings,other_liabilities_provisions,total_liabilities,interest_earned,other_income,total_income,interest_expended,operating_expenses,net_interest_income,provisions_contingencies,operating_profit,net_profit,crar,tier1_crar,tier2_crar,gross_npa_opening,gross_npa_additions,gross_npa_reduction,gross_npa_writeoff,gross_npa_closing,net_npa_opening,net_npa_closing,return_on_assets,return_on_equity,net_npa_to_net_advances,asset_growth,deposit_growth,advance_growth,calculated_nii,nii_difference,profit_growth
FY2015-16,2016,COMMONWEALTH BANK OF AUSTRALIA,473.6326,98.0245,300.0151,0.2359,52.5631,179.3933,,98.1992,183.4589,12.5812,473.6326,31.8856,-2.57,29.3156,10.9675,27.6127,20.9181,-0.2125,-9.2646,-9.0521,35.22,34.86,0.36,,,,,,,,-1.94,-5.11246796977058,,,,,20.918100000000003,-3.552713678800501e-15,
FY2016-17,2017,COMMONWEALTH BANK OF AUSTRALIA,193.1476,,,0.1473,66.9412,185.5061,,0.6444,,6.9971,193.1476,17.7296,-0.5136,17.216,6.1421,31.6908,11.5875,-1.3946,-20.6169,-19.2223,144.63,144.63,,,,,,,,,-6.75,-10.5356709273844,,-59.21995234280748,-99.34378284140809,,11.587500000000002,-1.7763568394002505e-15,112.35182996210824
FY2015-16,2016,COOPERATIEVE RABOBANK U.A.,3152.8945,1049.782,1787.3894,5.6827,119.3304,1220.0775,87.4688,1534.9686,159.2339,151.1457,3152.8945,187.4997,59.8803,247.38,95.3613,84.0661,92.1384,39.0964,67.9526,28.8562,47.05,46.7,0.35,,20.0,,,20.0,,17.0,1.13,2.93522217273596,0.95,,,,92.13839999999999,1.4210854715202004e-14,
FY2016-17,2017,COOPERATIEVE RABOBANK U.A.,3426.6874,689.3133,1736.0593,2.6664,235.6279,1220.0775,-49.6662,1970.6012,165.4285,120.2464,3426.6874,227.0182,39.2455,266.2637,113.6019,95.1558,113.4163,194.641,57.506,-137.135,35.3,34.83,0.47,20.0,424.3479,,,444.3479,17.0,167.729,-4.15,-11.0683895479083,9.66,8.68385859406333,28.380554494730383,-2.871791675613611,113.4163,0.0,-575.2358245368413
FY2017-18,2018,COOPERATIEVE RABOBANK U.A.,4884.2584,678.7262,3181.9458,1.831,110.5062,1220.0775,-293.9498,2489.6057,1324.275,144.25,4884.2584,245.3083,30.6633,275.9716,125.5087,86.6391,119.7996,308.1074,63.8238,-244.2836,27.29,26.48,0.81,444.3479,,1.5437,206.388,236.4162,167.729,,-6.35,-23.3035111676911,,42.535861310255505,26.337368514745663,83.28554790726332,119.7996,0.0,78.13366390782808
FY2018-19,2019,COOPERATIEVE RABOBANK U.A.,6694.1709,1213.2626,4012.2265,2.1946,217.7221,1220.0775,-190.3029,4325.4839,1103.6603,235.2521,6694.1709,383.3783,36.5135,419.8918,241.356,110.7042,142.0223,-35.8153,67.8316,103.6469,26.07,24.98,1.09,236.4162,,29.92,79.9645,126.5317,,,1.85,10.5983719125439,,37.05603495507119,73.74172544672435,26.093489713118313,142.02230000000003,-2.842170943040401e-14,-142.4289227766416
FY2019-20,2020,COOPERATIEVE RABOBANK U.A.,6337.455022,1753.142922,2531.7141,3.6249,235.1081,1220.0775,-241.17046,4637.240698,467.6505,,6337.455022,407.3002,10.5731,417.8733,253.4704,135.238,153.8298,80.0325,29.1649,-50.8676,38.33,37.35,0.98,126.5317,169.811,3.9924,122.5393,169.811,,,-0.85,-5.064774725,3.14,-5.328753677322462,7.207443264324698,-36.90002047491586,153.8298,0.0,-149.0777823552851
FY2020-21,2021,COOPERATIEVE RABOBANK U.A.,5154.746748,1369.339048,2289.777,3.4631,216.1573,1220.0775,-238.94466,3489.3602,470.0055,,5154.746748,284.6609,15.7877,300.4486,138.2083,113.6356,146.4526,46.37895,48.6047,2.22575,35.51,34.48,1.03,169.811,202.462,,,372.273,79.4803,251.9423,0.03,0.227,11.0,-18.662195942919002,-24.75352419155361,-9.556256766907456,146.45260000000002,-2.842170943040401e-14,-104.37557502221453
FY2021-22,2022,COOPERATIEVE RABOBANK U.A.,3774.697543,704.220995,1377.0721,1.6007,253.723948,1220.0775,-328.759057,2250.4287,366.4693,,3774.697543,309.7704,18.1796,327.95,98.9926,139.8292,210.7778,178.9426,89.1282,-89.8144,27.92,26.88,1.04,372.273,27.5168,74.48,174.842,150.4678,251.9423,65.9048,-1.42,-9.593243,4.79,-26.772395860872255,-35.505979004403166,-39.859990732722004,210.7778,0.0,-4135.24205324048
FY2022-23,2023,COOPERATIEVE RABOBANK U.A.,1383.36295,160.042381,225.9284,0.8397,234.203369,1220.0775,-287.62405,149.6032,0.8217,,1383.36295,142.1609,27.0183,169.1792,36.2751,78.6449,105.8858,13.1241,54.2592,41.1351,74.4,73.21,1.19,150.4678,40.7187,27.4618,59.7921,103.9326,65.9048,37.9284,0.87,4.510992,16.79,-63.35168753943261,-93.35223550961645,-83.59356783134304,105.88579999999999,1.4210854715202004e-14,-145.800116685075
FY2023-24,2024,COOPERATIEVE RABOBANK U.A.,1045.586003,82.4254,,,154.570303,1220.0775,-224.877997,,,,1045.586003,91.6916,5.0813,96.7729,2.4792,51.7781,89.2124,-20.2304,42.5156,62.746,160.76,159.88,0.88,103.9326,,44.8102,59.1224,,37.9284,,4.12,6.510093,,-24.41708786548028,,,89.21239999999999,1.4210854715202004e-14,52.53639835566219
FY2024-25,2025,COOPERATIEVE RABOBANK U.A.,1051.107003,,,,152.120703,1220.0775,-207.234097,,,,1051.107003,61.407,0.9374,62.3444,,20.8724,61.407,23.8281,41.472,17.6439,187.44,187.44,,,,,,,,,1.68,1.757323,,0.5280292567191314,,,,,-71.88043859369522
FY2015-16,2016,CORPORATION BANK,234863.6156,63280.6345,140322.2406,1277.1335,14802.4088,204.4971,11161.3849,205170.8436,13112.1944,5214.6956,234863.6156,19411.2369,1735.1597,21146.3966,15171.778,2879.6014,4239.4589,3601.4976,3095.0172,-506.4804,10.56,7.93,2.63,7106.67,10581.98,649.56,2494.84,14544.25,4464.98,9160.14,-0.23,-4.63589986284803,6.53,,,,4239.4589,0.0,
FY2016-17,2017,CORPORATION BANK,247891.0547,64072.9765,140356.7937,1290.0139,17121.3143,229.4113,12482.5338,220559.6192,6468.1735,8151.3169,247891.0547,19471.4718,3090.3087,22561.7805,15020.4618,3101.7898,4451.01,3878.3229,4439.5289,561.206,11.32,8.9,2.42,14544.25,7762.42,1687.76,3573.69,17045.22,9160.14,11692.18,0.23,4.66160004944965,8.33,5.5468102484580895,7.500469038379487,0.02462410794772385,4451.01,0.0,-210.80507755087856
FY2017-18,2018,CORPORATION BANK,221891.3054,70349.756,119868.8371,1229.211,19125.8212,333.1097,10512.7423,183315.9499,22171.1335,5558.37,221891.3054,17628.3327,2313.0808,19941.4135,12790.1086,3200.8885,4838.2241,8004.3595,3950.4164,-4053.9431,9.23,7.27,1.96,17045.22,14576.86,1180.27,8228.37,22213.44,11692.18,14077.02,-1.67,-34.4169964856349,11.74,-10.488377376692803,-16.885987305875794,-14.597053737057553,4838.224099999999,9.094947017729282e-13,-822.3627509328126
FY2018-19,2019,CORPORATION BANK,213577.8538,59979.1981,121251.2092,1421.8482,18356.564,1198.8368,15366.0245,184567.8445,8394.2552,4050.8928,213577.8538,15622.6303,1872.0687,17494.699,10114.166,3486.068,5508.4643,10227.4479,3894.465,-6332.9829,12.3,10.52,1.78,22213.44,6282.6,1782.92,5989.44,20723.68,14077.02,6926.64,-3.14,-46.2080853620106,5.71,-3.746632426634955,0.6829163532594551,1.1532372662018453,5508.4643000000015,-1.8189894035458565e-12,56.217853674364605
FY2019-20,2020,CORPORATION BANK,229539.7699,66432.4373,127399.0574,1379.4014,17320.7098,1198.8368,12551.6356,205354.7818,2301.0624,,229539.7699,16170.5794,3749.1996,19919.779,10942.0953,5175.1916,5228.4841,6194.0861,3802.4921,-2391.594,11.53,9.04,2.49,20723.68,4336.27,1847.3,3813.63,19399.02,6926.64,6256.97,-1.13,-15.7781142946812,4.91,7.473582029224413,11.26249122988483,5.070339702641102,5228.4841,0.0,-62.23589992639962
FY2015-16,2016,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,13401.6575,1381.4953,5622.9555,25.4044,6024.7913,978.3701,1045.0833,2053.6664,3096.9156,6227.6221,13401.6575,410.2026,98.0421,508.2447,191.7742,116.256,218.4284,128.781,200.2145,71.4335,12.85,11.41,1.44,0.59,237.03,,,237.62,,175.58,0.67,3.59371046461311,3.12,,,,218.4284,0.0,
FY2016-17,2017,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,12747.8714,1584.8834,4409.8083,17.2826,6536.5579,978.3701,841.3679,1850.828,2089.9458,6987.3596,12747.8714,429.2272,62.4622,491.6894,222.8129,128.7297,206.4143,290.2871,140.1468,-150.1403,16.83,13.0,3.83,237.62,360.11,58.31,263.17,276.25,175.58,204.55,-1.28,-7.81331369548756,4.64,-4.878397317645222,-9.876891397746002,-21.57490309144364,206.41429999999997,2.842170943040401e-14,-310.1819174476961
FY2017-18,2018,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,9119.2237,1793.1744,3887.7441,18.0416,2954.0635,978.3701,571.7026,2702.2381,1499.4837,3367.4292,9119.2237,425.0068,2.3503,427.3571,218.8894,131.1001,206.1174,347.0329,77.3676,-269.6653,14.8,11.47,3.33,276.25,207.46,28.11,72.04,383.56,204.55,56.99,-2.36,-16.0047743928168,1.47,-28.464734120239076,46.00157875286088,-11.838705097452873,206.1174,0.0,79.60887250125384
FY2018-19,2019,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,15443.2339,2302.1469,5030.9614,22.9842,6954.0226,978.3701,731.5801,2704.8614,3446.4271,7581.9952,15443.2339,527.7702,8.1505,535.9207,301.9059,166.045,225.8643,-91.9077,67.9698,159.8775,12.74,10.26,2.48,383.56,13.45,142.81,251.03,3.17,56.99,,1.17,9.80836668355919,,69.34812005982481,0.09707878813489668,29.40567255956996,225.86430000000007,-8.526512829121202e-14,-159.28738328587326
FY2019-20,2020,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,21313.028062,3501.034268,5040.987188,20.814978,11182.416896,1097.166539,830.82861,6550.642322,852.49448,,21313.028062,569.682341,46.4021,616.084441,305.782165,159.563822,263.900176,51.48991,150.738454,99.248544,12.43,10.17,2.26,3.1695,,,0.2405,2.929,,,0.68,5.456296589,,38.008840635380146,142.180332123487,0.1992817515952261,263.90017599999993,5.684341886080802e-14,-37.922131632030776
FY2020-21,2021,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,15126.583701,3851.091757,3957.580244,17.441097,5092.191678,1373.2366,1051.923066,6698.120537,328.995048,,15126.583701,568.4507,23.277801,591.728501,228.393721,174.142123,340.056979,-31.901799,189.192657,221.094456,13.89,11.55,2.34,2.929,,,,2.929,,,1.32,10.158,,-29.026585724954323,2.2513550236852753,-21.491959879982137,340.05697899999996,5.684341886080802e-14,122.76846298117987
FY2021-22,2022,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,16652.5673,5126.536573,4937.4478,20.031,3899.867711,2377.9812,1127.617254,7906.610403,341.0662,,16652.5673,541.369196,15.252862,556.622058,222.939331,190.356266,318.429865,67.632261,143.326461,75.6942,14.87,12.61,2.26,2.929,,,,2.929,,,0.44,2.552598,,10.088091463104899,18.042223327041928,24.759259334932125,318.42986499999995,5.684341886080802e-14,-65.76386338696797
FY2022-23,2023,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,19842.88682,6630.942894,5090.078458,26.671541,6182.9273,2375.260928,1208.352422,8412.626131,405.845547,,19842.88682,799.475363,-52.685841,746.789522,385.375451,192.333407,414.099912,88.345643,169.080664,80.735021,13.65,11.62,2.03,2.929,,,,2.929,,,0.36,2.277687,,19.158124165034906,6.399907194213128,3.091286514461977,414.099912,0.0,6.659454753468563
FY2023-24,2024,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,21260.97778,9994.785756,4898.439044,27.886,3945.312618,2380.134236,1339.545658,9001.336204,3575.825422,,21260.97778,1126.558397,-52.179548,1074.378849,611.910894,230.819476,514.647503,100.455179,231.648479,131.1933,14.4,12.22,2.18,2.929,,,,2.929,,,0.63,3.592716,,7.146596021354523,6.997934578723752,-3.764959923138389,514.647503,0.0,62.498626215753376
FY2024-25,2025,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,31444.28467,13621.30906,6837.989019,39.880029,8677.847025,4854.414377,1617.59551,7841.056126,7469.910754,,31444.28467,1376.488926,25.907283,1402.396209,805.893777,240.762026,570.595149,141.663306,355.740406,214.0771,20.34,18.81,1.53,2.929,,,,2.929,,,0.84,4.201013,,47.896700685042525,-12.890087112671067,39.59526611596231,570.595149,0.0,63.176854305822026
FY2015-16,2016,CREDIT SUISSE AG,11423.018,6861.1387,1819.8145,0.5702,806.4253,1135.0,629.0473,6697.5648,1984.0601,977.3458,11423.018,724.9797,87.3574,812.3371,475.8767,77.2175,249.103,114.5864,259.2429,144.6565,26.17,25.62,0.55,,,,,,,,1.48,8.55085837095705,,,,,249.10299999999995,5.684341886080802e-14,
FY2016-17,2017,CREDIT SUISSE AG,6825.647,5055.3708,1099.8421,0.8988,479.4308,1135.0,868.7712,2923.5725,1325.1438,573.1595,6825.647,555.6472,260.5837,816.2309,332.464,76.4297,223.1832,167.6133,407.3372,239.7239,34.57,34.2,0.37,,,,,,,,2.99,12.7248114525686,,-40.24655305629388,-56.34872394217074,-39.56295545507522,223.1832,0.0,65.71941115677484
FY2017-18,2018,CREDIT SUISSE AG,8800.3942,6121.4142,1323.4233,0.7863,540.5649,1775.0,976.4572,3546.2764,2346.7292,155.9314,8800.3942,429.9488,-12.2465,417.7023,147.7211,75.3457,282.2277,86.9495,194.6355,107.686,36.81,36.5,0.31,,,,,,,,1.63,4.52916204824147,,28.93128226525632,21.29941706593559,20.328481697509115,282.2277,0.0,-55.07915564530694
FY2018-19,2019,CREDIT SUISSE AG,8409.8817,4865.9535,1278.143,3.6181,393.9994,1775.0,992.5395,3445.785,1952.9293,243.6279,8409.8817,488.7772,-24.8022,463.975,180.6369,67.2774,308.1403,199.9784,216.0607,16.0823,42.02,41.71,0.31,,260.0,,,260.0,,107.69,0.22,0.582797956737318,8.43,-4.437443268166341,-2.8337159506235943,-3.42145253147651,308.1403,0.0,-85.06556098285756
FY2019-20,2020,CREDIT SUISSE AG,9951.528,7534.6622,1226.995,8.6286,833.0906,1775.0,878.63,2831.7446,4029.4864,,9951.528,459.3006,-69.6557,389.6449,174.3403,59.0466,284.9603,270.1675,156.258,-113.9095,33.78,33.56,0.22,260.0,,,260.0,,107.69,,-1.57,-4.202395811,,18.331367253358643,-17.82004390871745,-4.001743153935056,284.96029999999996,5.684341886080802e-14,-808.2911026407913
FY2020-21,2021,CREDIT SUISSE AG,19189.4833,13390.1958,1270.0,11.0654,734.2948,3225.0,1208.9544,5254.5622,9243.1482,,19189.4833,765.0931,133.0191,898.1122,254.1252,77.6578,510.9679,236.0048,566.3292,330.3244,34.62,32.61,2.01,,,,,,,,2.56,9.321,,92.82951623107527,85.55918496322022,3.5049042579635703,510.96790000000004,-5.684341886080802e-14,-389.9884557477647
FY2021-22,2022,CREDIT SUISSE AG,20732.0668,16056.3908,946.5696,8.9223,1829.3984,3225.0,1511.5561,2833.4972,12178.5418,,20732.0668,1134.6107,-330.9905,803.6202,428.0406,95.1253,706.5701,-22.1474,280.4543,302.6017,60.02,55.73,4.29,,,,,,,,1.57,6.599452,,8.038692214292187,-46.07548465217521,-25.466960629921253,706.5700999999999,1.1368683772161603e-13,-8.392568033121384
FY2022-23,2023,CREDIT SUISSE AG,18286.5637,14473.8658,656.9827,7.794,1588.5132,3225.0,1772.3026,1695.9919,10621.7154,,18286.5637,1394.9309,-69.9465,1324.9844,760.5873,88.4464,634.3436,215.2042,475.9507,260.7465,46.96,43.78,3.18,,,,,,,,1.16,5.357516,,-11.79575159385461,-40.144924088860925,-30.59330238368103,634.3436,0.0,-13.831779530650346
FY2023-24,2024,CREDIT SUISSE AG,8148.6793,2817.3202,2233.1489,6.0125,856.0249,3225.0,1969.6254,2394.5127,,,8148.6793,871.4413,13.0661,884.5074,420.3995,104.4838,451.0418,162.3013,359.6241,197.3228,86.97,85.12,1.85,,,,,,,,1.32,3.872139,,-55.438980041941946,41.18656462922967,239.90984846328524,451.04179999999997,5.684341886080802e-14,-24.323893129917384
FY2015-16,2016,CSB BANK LIMITED,15651.9417,5986.6893,7852.6456,215.0934,871.2212,71.7602,821.0327,14438.4049,41.8,278.9439,15651.9417,1482.8854,104.681,1587.5664,1159.2715,432.0411,323.6139,145.9782,-3.7462,-149.7244,10.55,9.76,0.79,474.81,403.09,288.65,142.34,446.91,364.59,345.15,-0.92,-16.8108294399364,4.4,,,,323.61389999999983,1.7053025658242404e-13,
FY2016-17,2017,CSB BANK LIMITED,16223.236,5761.5162,8118.9338,215.2614,916.3749,81.0143,918.3421,14911.5623,41.8,270.5173,16223.236,1336.2949,281.2013,1617.4962,1022.6935,443.0891,313.6014,150.1591,151.7136,1.5545,12.15,11.54,0.61,446.91,367.0,75.06,138.75,600.1,345.15,447.64,0.01,0.164310501290781,5.51,3.6499899561982296,3.2770752952079985,3.391063516224402,313.6014000000001,-1.1368683772161603e-13,-101.03824092799837
FY2017-18,2018,CSB BANK LIMITED,15870.0515,4113.9508,9337.3564,216.1176,987.4927,81.0143,808.0182,14690.6493,41.8,248.5697,15870.0515,1296.8059,125.4202,1422.2261,912.0005,435.8987,384.8054,171.7962,74.3269,-97.4693,9.91,9.45,0.46,600.1,281.16,112.1,5.03,764.13,447.64,416.29,-0.59,-10.323011324627,4.46,-2.1770286766462643,-1.481487959179173,15.007174956889058,384.8054000000001,-5.684341886080802e-14,-6370.138308137665
FY2018-19,2019,CSB BANK LIMITED,16911.1578,4027.6116,10615.2373,217.7288,1076.9495,85.9723,1345.7205,15123.8729,,355.5921,16911.1578,1347.5154,135.9177,1483.4331,907.5609,562.5137,439.9545,210.7777,13.3585,-197.4192,16.7,16.03,0.67,764.13,197.45,130.95,300.01,530.62,416.29,240.68,-1.13,-17.0135776086898,2.27,6.5601948424679035,2.948975168851131,13.685681955976325,439.95450000000005,-5.684341886080802e-14,102.54500647896312
FY2019-20,2020,CSB BANK LIMITED,18864.2381,5359.8353,11366.3539,253.4832,945.224,173.5081,1787.1564,15790.6789,794.0,,18864.2381,1509.8865,221.6099,1731.4964,917.6003,533.3202,592.2862,267.8512,280.5759,12.7247,22.46,21.79,0.67,530.62,181.78,104.7,198.27,409.43,240.68,216.94,0.07,0.7501981,1.91,11.549063187146169,4.408963262313592,7.075834282103144,592.2862000000001,-1.1368683772161603e-13,-106.44552302916838
FY2020-21,2021,CSB BANK LIMITED,23337.3538,6125.9907,14438.1223,269.4891,789.6845,173.5381,2006.6887,19140.0427,1425.9194,,23337.3538,1872.2945,303.13,2175.4245,930.9064,728.9952,941.3881,297.1227,515.5229,218.4002,21.37,19.96,1.41,409.434,192.1203,81.28,126.78,393.4943,216.94,168.81,0.99,10.548,1.17,23.712146105704647,21.21101835589856,27.025099051332546,941.3881,0.0,1616.3485190220595
FY2021-22,2022,CSB BANK LIMITED,25356.2722,7011.6186,15814.6804,287.8632,668.3507,173.5381,2477.8599,20188.296,2007.1878,,25356.2722,2038.3113,246.8,2285.1113,885.0106,786.3799,1153.3007,155.2268,613.7208,458.494,25.9,24.35,1.55,393.4943,118.7078,127.7321,94.959,289.511,168.81,106.9894,1.9,18.978874,0.68,8.65101680894087,5.476755284354695,9.534190605934945,1153.3007000000002,-2.2737367544323206e-13,109.93295793685172
FY2022-23,2023,CSB BANK LIMITED,29162.2815,5848.6951,20650.6453,319.3615,506.8731,173.5381,3030.0883,24505.8119,782.97,,29162.2815,2319.6534,315.6809,2635.3343,985.8065,942.1281,1333.8469,160.0383,707.3997,547.3614,27.1,25.87,1.23,289.511037,81.076795,92.291258,15.736214,262.56036,106.9894,71.8214,2.06,18.697152,0.35,15.0101295252699,21.386232399207938,30.5789606725154,1333.8469,0.0,19.38245647707495
FY2023-24,2024,CSB BANK LIMITED,36055.9902,7551.429,24335.5757,405.9157,608.1822,173.5381,3630.1087,29718.8036,1757.38,,36055.9902,2927.5423,584.2864,3511.8287,1451.1279,1280.779,1476.4144,213.1001,779.9218,566.8217,24.47,23.1,1.37,262.5604,175.7262,71.1279,6.0862,361.0725,71.8203,124.8996,1.79,16.178096,0.51,23.63912679465767,21.272470878632667,17.844141654982582,1476.4144000000001,-2.2737367544323206e-13,3.555292718850822
FY2024-25,2025,CSB BANK LIMITED,47836.2719,11389.3376,31507.0485,628.6839,719.0226,173.5381,4324.1934,36861.4881,5546.2839,,47836.2719,3597.1444,972.0526,4569.197,2120.9693,1537.9923,1476.1751,316.4377,910.2354,593.7977,22.46,20.59,1.87,361.0725,228.7455,68.6945,22.6636,498.4599,124.8996,163.5307,1.49,14.306003,0.52,32.67219020932617,24.034226263401813,29.469090390164876,1476.1751,0.0,4.759168535714142
FY2015-16,2016,"CTBC BANK CO., LTD.",783.6215,84.5329,547.0623,3.4584,29.659,340.85,-25.9761,384.6466,71.5259,12.5751,783.6215,50.5665,9.3011,59.8676,16.0986,29.7853,34.4679,22.1412,13.9837,-8.1575,42.09,41.69,0.4,7.7,60.0,,3.89,63.81,1.8,45.26,-1.21,-2.55758966103589,8.27,,,,34.4679,0.0,
FY2016-17,2017,"CTBC BANK CO., LTD.",895.1307,120.9166,674.9061,2.8549,50.3321,340.85,-42.435,487.9659,91.4616,17.2882,895.1307,60.9878,8.0606,69.0484,20.8685,34.4116,40.1193,30.2272,13.7683,-16.4589,43.06,42.43,0.63,63.81,8.13,,,71.94,45.26,6.74,-1.88,-5.36742145504345,1.0,14.229982204418846,26.860837974390005,23.36914826702552,40.119299999999996,7.105427357601002e-15,101.76402083971806
FY2017-18,2018,"CTBC BANK CO., LTD.",811.4163,159.4587,473.5925,3.8114,53.7981,340.85,-40.5847,403.3156,94.5583,13.2771,811.4163,61.3203,7.5962,68.9165,21.4811,40.5711,39.8392,5.014,6.8643,1.8503,46.21,45.74,0.47,71.94,,4.28,60.0,7.66,6.74,0.17,0.2,0.618126235321256,0.04,-9.352198511345888,-17.347585148880274,-29.828386497025296,39.839200000000005,-7.105427357601002e-15,-111.2419420495902
FY2018-19,2019,"CTBC BANK CO., LTD.",1345.0695,290.9838,814.8058,4.6025,49.6783,340.85,-34.4487,834.286,183.0457,21.3365,1345.0695,79.7262,12.3216,92.0478,32.4341,42.7472,47.2921,10.7305,16.8665,6.136,35.36,34.79,0.57,7.66,,4.2,,3.46,2.19,-0.35,0.54,2.02285736514916,,65.76811434525041,106.85686345879009,72.0478681566959,47.292100000000005,-7.105427357601002e-15,231.62189915148895
FY2019-20,2020,"CTBC BANK CO., LTD.",2058.0094,513.8329,1243.902,9.1504,55.7431,553.5549,-27.1073,1373.9075,125.246,,2058.0094,107.4227,12.1273,119.55,50.6405,49.0431,56.7822,12.525,19.8664,7.3414,39.73,38.71,1.02,3.461832,,0.885,,2.576832,-0.35,,0.45,1.762960844,,53.00394514930269,64.68063709567224,52.66238900115832,56.7822,0.0,19.64471968709256
FY2020-21,2021,"CTBC BANK CO., LTD.",2109.4656,562.2341,1377.2304,10.714,50.279,553.5549,-16.1245,1385.8113,145.3089,,2109.4656,107.2715,20.8378,128.1093,50.746,47.9971,56.5255,18.3834,29.3662,10.9828,36.8,35.54,1.26,2.576832,,0.804375,,1.772457,,,0.54,2.065,,2.500289843185355,0.866419318622258,10.718561430080499,56.5255,0.0,49.600893562535745
FY2021-22,2022,"CTBC BANK CO., LTD.",2666.5241,660.9881,1534.1039,10.5312,73.1498,553.5549,-4.7194,1859.0681,196.0524,,2666.5241,111.4108,19.6008,131.0116,58.1018,56.6604,53.309,4.8443,16.2494,11.4051,31.82,30.56,1.26,1.772457,,0.2925,,1.479957,,,0.48,2.099873,,26.407565024999702,34.15016171393608,11.390505176185496,53.309,0.0,3.8451032523582285
FY2022-23,2023,"CTBC BANK CO., LTD.",3217.4049,980.5273,1776.7639,8.7198,65.5254,553.5549,5.4866,2203.5471,398.6868,,3217.4049,163.2613,14.7866,178.0479,93.65,62.4542,69.6113,11.7377,21.9437,10.206,23.53,22.31,1.22,1.479957,,0.816,,0.663957,,,0.37,1.842443,,20.659134488977603,18.529660102284563,15.817703090383883,69.6113,0.0,-10.513717547412993
FY2023-24,2024,"CTBC BANK CO., LTD.",3507.8062,1030.6007,2122.4194,15.4851,66.8992,965.7126,38.629,2262.9805,183.1509,,3507.8062,243.1146,29.7277,272.8423,135.9967,77.0261,107.1179,26.6771,59.8195,33.1424,35.1,33.91,1.19,0.663957,,0.663957,,,,,0.96,4.239831,,9.025948210621548,2.697169486415807,19.454216736393647,107.11789999999999,1.4210854715202004e-14,224.73446991965514
FY2024-25,2025,"CTBC BANK CO., LTD.",4740.277,1382.2046,2521.389,23.3361,100.7897,965.7126,74.0024,3242.845,331.3224,,4740.277,289.9697,30.4161,320.3858,167.1366,90.1025,122.8331,30.2672,63.1467,32.8795,24.07,23.19,0.88,,,,,,,,0.8,3.217083,,35.13508813571286,43.29973236623115,18.797868131058348,122.8331,0.0,-0.7932436999131043
FY2015-16,2016,DBS BANK INDIA LIMITED,43845.4242,15583.9572,17653.0995,74.0446,5433.3412,3211.3534,1206.173,23427.5293,11536.3613,4464.0072,43845.4242,2091.8759,280.0086,2371.8845,1339.0135,602.6943,752.8624,421.6169,430.1767,8.5598,18.64,13.01,5.63,1283.8723,640.6823,156.5735,135.2757,1632.7054,657.5235,766.6062,0.02,0.209824072499245,4.34,,,,752.8624,0.0,
FY2016-17,2017,DBS BANK INDIA LIMITED,44542.0575,10248.1286,21838.2258,58.058,7713.1519,3211.3534,1405.1501,26990.9652,5781.5001,7153.0887,44542.0575,2577.9291,622.6691,3200.5982,1853.3812,825.006,724.5479,509.4116,522.211,12.7994,16.49,11.62,4.87,1632.7054,601.9036,451.5822,944.6434,838.3834,766.6062,462.4657,0.03,0.283359699750385,2.12,1.5888392294309384,15.210463956179975,23.707600469821166,724.5478999999998,2.2737367544323206e-13,49.52919460735066
FY2017-18,2018,DBS BANK INDIA LIMITED,46853.2152,17797.6818,17867.0566,64.5369,5149.3192,3705.7895,872.2791,29221.6578,8600.1868,4453.302,46853.2152,2485.3948,296.6412,2782.036,1837.4895,948.8309,647.9053,528.5866,-4.2844,-532.871,16.14,11.34,4.8,838.3834,497.7238,254.1367,143.7284,938.2421,462.4657,195.1196,-1.16,-11.5909907324562,1.09,5.188708896080962,8.264589959902601,-18.18448639724204,647.9053000000001,-1.1368683772161603e-13,-4263.249839836242
FY2018-19,2019,DBS BANK INDIA LIMITED,57920.463,20982.0457,18107.9424,68.3112,8114.7928,5037.65,886.8012,33827.8379,10446.3484,7721.8255,57920.463,281.5464,89.5674,371.1138,211.5593,148.3225,69.9871,-9.2598,11.232,20.4918,19.69,14.62,5.07,,605.2391,4.6631,17.4044,583.1716,,58.8628,0.04,0.390226353108137,0.33,23.6211063696649,15.76289795577579,1.3482119936867543,69.9871,0.0,-103.84554610778218
FY2019-20,2020,DBS BANK INDIA LIMITED,62864.3524,23426.9222,19130.6865,90.8356,12717.572,5037.65,997.8068,35652.1099,9086.6897,,62864.3524,3246.3978,274.3318,3520.7296,2076.8696,1242.3843,1169.5282,90.4701,201.4757,111.0056,16.33,13.12,3.21,583.1716,148.8991,40.8073,183.6968,507.5666,58.8628,89.6638,0.2,1.856295216,0.47,8.535652417005025,5.392812882079001,5.648041491450728,1169.5282000000002,-2.2737367544323206e-13,441.70741467318635
